,Forms of Disease,Survey,Overall
0,Cocaine Habit,0.046511627906976744,0.0011231748408835642
1,Dementia,0.16279069767441862,0.1347809809060277
2,Dipsomania,0.011627906976744186,0.008236615499812805
3,Imbecility,0.06976744186046512,0.00636465743167353
4,Mania,0.2441860465116279,0.5320104829651816
5,Melancholia,0.3023255813953488,0.24410333208536128
6,Monomania,0.023255813953488372,0.0471733433171097
7,Paresis,0.13953488372093023,0.02620741295394983
